student_id,name,class,comprehension,attention,focus,retention,engagement_time,assessment_score
S1027,Patrick Porter,B,69.3,73.8,36.1,57.3,8.1,51.8
S1028,Megan Simon,B,67.2,83.6,56.6,68.0,10.7,68.1
S1029,Jonathan Sanchez,A,78.4,65.3,76.6,78.8,30.9,67.7
S1030,Jenna Sanchez,B,92.2,69.6,57.7,42.8,27.6,66.1
S1031,Janet Williams,A,83.5,90.5,87.2,52.1,35.7,68.1
S1032,Vanessa Diaz,A,66.8,68.6,33.9,58.0,13.5,49.5
S1033,Dr. David Jones MD,C,56.7,100.0,59.8,51.0,52.1,60.2
S1034,Morgan Smith,C,100.0,73.5,37.5,86.3,6.8,74.1
S1035,Austin Cooper,C,70.7,38.6,66.5,50.0,19.0,62.2
S1036,Anthony Wyatt,A,70.2,76.3,76.0,54.2,48.4,59.8
S1037,Chad Underwood,A,69.7,70.7,52.4,64.9,6.0,65.4
S1038,Jonathan Frost,B,72.4,84.3,13.1,45.2,3.5,39.3
S1039,Jaime Smith,B,68.3,75.1,63.6,56.5,64.5,54.9
S1040,Taylor Adams,A,63.1,62.9,67.9,66.4,12.6,52.8
S1041,Paul Williams,B,63.4,46.6,67.3,57.3,34.5,45.5
S1042,Stephanie Banks,A,69.6,61.9,82.2,60.7,0.8,52.4
S1043,April Simpson,C,63.5,52.2,40.7,54.6,35.1,51.8
S1044,Anna Perez,A,61.4,56.3,72.2,40.8,11.4,52.1
S1045,Anthony Ortiz,B,71.3,73.8,81.5,66.5,1.7,68.4
S1046,Dean Lopez,A,66.9,90.0,28.0,86.6,28.2,66.0
S1047,Shannon Vasquez,B,88.0,70.9,65.8,62.3,8.3,68.4
S1048,Nicholas Clark,B,38.2,47.1,50.9,65.2,14.7,47.5
S1049,Michael Smith,A,83.1,71.7,58.5,71.7,2.5,65.0
S1050,Robert Roberts,C,85.0,82.9,66.3,44.2,4.8,59.1
S1051,Roger Fields,C,45.1,55.9,51.2,85.8,10.6,57.2
S1052,Gerald Hess,C,65.9,63.0,47.8,64.8,2.8,51.3
S1053,Christine Gutierrez,C,65.5,65.2,60.6,84.8,72.5,57.0
S1054,Melissa Vazquez,B,53.1,53.2,40.4,51.7,0.2,44.0
S1055,Tiffany Ware,C,60.7,74.7,40.5,87.5,19.8,53.1
S1056,Patricia Ortiz,A,56.7,63.2,72.2,72.9,3.9,55.8
S1057,Jacob Gonzales,A,91.0,71.3,39.3,69.7,11.0,65.8
S1058,Monica Price,A,81.2,51.7,72.0,65.3,78.1,65.5
S1059,George White,A,85.3,58.4,68.3,58.5,5.3,57.4
S1060,Rachel Harris,A,78.7,75.8,28.9,78.8,101.3,59.8
S1061,Christopher Wang,A,56.5,59.4,47.8,64.0,6.9,57.6
S1062,Evan Flores,C,63.7,90.9,81.5,34.5,40.6,67.3
S1063,Kevin Reed,A,75.9,59.0,42.3,46.4,23.7,66.0
S1064,Gregory Boyd,A,55.3,68.4,51.6,59.4,64.7,61.6
S1065,Elizabeth Silva,B,78.6,79.0,68.3,66.3,24.2,74.4
S1066,Laura Gross,A,67.1,43.7,74.1,61.2,22.9,47.3
S1067,Nicholas Miller,C,65.5,38.6,55.5,79.1,6.5,57.0
S1068,Louis Castaneda,A,78.5,42.1,49.2,34.7,5.5,49.0
S1069,Charlene Cooper MD,C,75.3,83.9,85.6,64.0,74.5,68.9
S1070,Randy Berry,C,65.7,56.7,91.3,36.5,11.9,58.9
S1071,Jacob Glass,A,83.9,100.0,77.6,72.6,14.0,82.6
S1072,Robert Myers,A,57.0,56.5,61.5,60.7,42.8,56.7
S1073,Susan Doyle,C,77.4,67.8,45.5,67.9,12.4,54.5
S1074,Barbara Davis,B,77.1,88.1,45.1,49.9,91.1,68.4
S1075,Christina Gonzalez,B,66.3,95.1,69.4,79.9,40.2,66.7
S1076,Tamara Anderson,C,73.9,95.9,67.5,76.6,27.3,73.1
S1077,Kyle Donaldson,A,55.0,83.1,85.2,70.2,63.8,64.6
S1078,Amanda Sullivan,A,81.1,80.4,71.7,60.2,1.5,66.5
S1079,Douglas Ortega Jr.,A,67.8,73.9,32.9,70.1,8.9,60.7
S1080,Jennifer Williams,C,63.7,76.7,78.9,52.1,18.8,56.1
S1081,Nancy Bradley,B,82.6,56.7,42.0,74.0,7.7,70.3
S1082,Brandon Taylor,A,61.5,52.7,53.1,85.1,40.9,45.1
S1083,Nicholas Arias,A,53.1,64.9,64.5,77.0,75.5,54.9
S1084,Patrick Shannon,A,51.3,62.4,95.9,51.8,16.5,60.6
S1085,George Martin,A,77.3,58.2,100.0,67.1,12.6,71.6
S1086,Megan Lee,B,54.6,75.4,70.9,43.9,97.8,57.9
S1087,Chad Phillips,B,91.1,79.3,56.7,70.0,17.7,69.1
S1088,John Glover,C,45.0,66.3,69.6,68.3,20.1,57.2
S1089,Kelly Jackson,B,90.4,87.2,76.0,35.8,13.0,68.4
S1090,David Steele,A,72.5,47.9,54.2,45.7,72.1,61.6
S1091,Leslie Ray,B,68.8,62.1,92.3,58.0,25.2,69.0
S1092,Monica Horn,C,63.5,54.2,64.1,57.8,43.1,60.4
S1093,Haley Baker,B,74.8,37.0,69.0,45.1,50.1,47.7
S1094,Christine Johnson,C,69.5,63.8,72.0,67.4,12.5,61.2
S1095,Andrea Brown,B,83.2,63.2,67.6,65.5,17.1,62.7
S1096,Amanda White,B,71.4,87.7,75.1,59.3,56.6,62.6
S1097,Randall Green,B,71.8,74.5,48.9,51.4,13.5,60.1
S1098,Kerry Travis,A,65.6,49.6,50.0,76.7,47.4,51.6
S1099,Kathleen Espinoza,A,69.3,92.8,40.2,85.2,84.9,70.9
S1100,Jason Anderson,A,73.7,83.3,67.9,55.2,29.3,59.1
S1101,Betty Gibson,B,49.5,73.7,74.0,53.4,40.6,67.4
S1102,Sandra Yoder,A,53.8,61.6,68.2,68.9,49.1,51.4
S1103,Andrea Robinson,B,78.9,50.6,90.1,57.0,55.9,65.6
S1104,Sarah Sexton,C,72.1,59.4,59.9,60.0,15.1,62.6
S1105,Matthew Smith,A,67.8,81.3,72.0,72.4,1.6,62.5
S1106,Hannah Rodriguez,B,70.2,93.3,40.3,35.3,15.4,63.2
S1107,Joanne Brennan,C,74.2,88.1,53.0,80.5,33.6,60.4
S1108,John Anderson,A,63.5,57.7,72.5,63.0,18.0,66.6
S1109,John Prince,A,60.7,48.2,75.3,56.2,41.5,54.9
S1110,Julie Torres,A,72.4,67.1,54.7,60.8,13.2,55.3
S1111,Corey Payne,A,58.3,38.5,58.7,61.5,30.2,47.0
S1112,Mr. Zachary Munoz,C,74.9,69.8,32.7,37.8,6.2,57.1
S1113,Daniel Campbell,C,49.6,62.8,53.6,82.9,41.5,51.3
S1114,Robert Scott,B,82.3,58.0,76.0,62.6,23.7,59.9
S1115,Tyrone Lambert,C,75.7,41.1,70.4,68.2,6.8,56.1
S1116,Nicole Riley DDS,C,73.1,72.7,69.0,75.3,10.4,58.4
S1117,Marissa Garcia,A,81.8,57.0,60.9,47.7,41.4,70.1
S1118,Kimberly Jarvis,C,90.0,47.5,60.1,68.6,19.8,58.3
S1119,Howard Smith,B,82.2,21.9,48.1,58.3,7.3,53.7
S1120,Sheila Scott,C,47.9,64.6,72.6,73.9,102.6,59.9
S1121,Timothy Adams,C,54.6,91.6,67.6,32.2,37.7,52.7
S1122,April Roberts,A,62.5,89.9,68.9,60.6,94.5,66.4
S1123,Sara Gonzalez,A,70.3,58.1,50.5,53.6,16.7,58.9
S1124,Lisa Barnett,A,76.2,56.0,21.2,68.1,19.3,50.7
S1125,Chelsea Holmes,B,61.3,72.0,79.7,68.6,68.5,71.5
S1126,Kimberly Grant,C,72.2,50.0,51.4,52.1,22.3,59.0
S1127,Crystal Anderson,C,60.9,69.5,44.5,52.0,36.9,58.8
S1128,Robert Thomas,A,62.7,76.5,72.5,60.5,8.7,58.9
S1129,Amber Duncan,B,53.1,83.4,52.9,49.4,17.8,48.8
S1130,Darrell Shepherd,B,58.9,63.5,79.1,73.8,4.0,56.9
S1131,Nicole Miller,A,53.8,61.9,71.1,56.8,6.9,55.7
S1132,Luke Barron,A,58.3,51.8,72.3,21.3,0.0,51.4
S1133,Crystal Castillo,A,82.6,52.6,35.4,56.8,1.2,40.5
S1134,Jessica Miller,C,58.6,61.6,81.8,47.5,113.5,59.3
S1135,Benjamin Rodriguez,A,100.0,70.5,64.7,39.2,8.3,67.6
S1136,Kristen Burke,B,75.9,78.7,53.4,44.7,32.7,59.0
S1137,Cynthia Hamilton,B,72.2,53.0,62.6,63.5,54.8,66.1
S1138,Tammy Mullins,A,59.7,87.4,28.0,80.6,24.0,60.6
S1139,Stephen Jordan,C,78.4,60.9,67.4,66.4,5.0,70.2
S1140,Maria Larson,C,63.1,64.7,41.5,53.5,39.1,51.1
S1141,Vanessa Ortiz,A,71.5,53.8,35.7,68.4,27.5,58.6
S1142,Elizabeth Ramirez,B,100.0,28.6,32.6,55.6,39.4,62.8
S1143,Joshua Warren,A,68.8,78.3,80.0,52.3,44.1,73.0
S1144,Ronald Nunez,A,83.8,76.1,48.7,45.8,111.2,57.0
S1145,Clayton Cantrell,A,61.6,60.8,87.6,37.5,25.6,55.9
S1146,Tyler Haynes,B,69.6,66.0,50.4,56.5,12.5,54.2
S1147,Nicole Schwartz,B,91.2,72.7,29.3,64.2,31.4,64.8
S1148,Michele Stone,A,62.5,41.6,39.9,60.6,2.1,50.4
S1149,Jeffrey Gonzalez,A,91.7,57.1,82.2,56.2,68.3,63.3
S1150,Ronald Fisher,C,78.5,76.9,57.2,48.8,3.8,62.0
S1151,Karina Hall,A,63.3,46.2,50.1,70.5,11.9,39.3
S1152,Robert Gomez,A,77.6,69.4,62.9,43.6,50.7,69.7
S1153,Mrs. Jennifer Hernandez,B,81.7,44.7,69.0,72.9,27.3,58.0
S1154,Andre Pitts DDS,C,77.5,72.0,80.1,48.0,15.0,65.2
S1155,Victoria Hardy,A,51.2,64.5,86.1,51.5,19.2,55.0
S1156,Patricia Pruitt,B,61.3,40.8,53.5,41.5,57.8,53.8
S1157,Bruce Silva,C,67.0,82.5,36.1,55.0,12.5,39.5
S1158,Michael Hamilton,A,69.1,54.0,52.6,75.7,61.1,57.5
S1159,Dustin Johnson,B,77.4,52.8,64.7,69.2,2.8,59.2
S1160,Rebecca Evans,A,72.1,68.0,42.7,75.7,45.0,56.9
S1161,Michael Turner,B,54.0,82.2,42.8,69.3,56.4,67.5
S1162,Michael Malone,B,74.6,49.8,66.2,46.5,6.0,49.9
S1163,James Perez,B,77.3,65.9,59.1,57.4,16.9,65.2
S1164,Brandy Taylor,A,76.7,71.4,60.6,51.1,5.4,62.9
S1165,Patricia Dean,C,83.0,75.4,46.3,80.6,36.8,73.6
S1166,Elizabeth Green,A,80.0,67.6,55.9,45.2,23.0,55.4
S1167,Rhonda Miller,A,75.5,59.5,43.4,74.5,30.3,53.7
S1168,Jason Little,A,69.2,52.6,76.0,74.5,6.6,67.0
S1169,Joseph Johnson,B,50.1,66.3,78.6,87.6,7.1,63.2
S1170,Ariel Holland,B,75.2,48.9,26.8,56.3,1.3,39.3
S1171,Jessica Rodriguez,A,72.5,21.2,43.3,72.0,11.7,43.5
S1172,Dennis Davis,B,73.3,71.5,33.1,93.9,24.6,63.5
S1173,Thomas Buckley,A,54.7,78.6,48.3,53.4,58.5,60.2
S1174,Amy Combs,B,57.0,29.6,58.5,40.5,33.0,39.0
S1175,Francisco Brady,A,82.6,49.9,33.9,35.7,17.1,32.3
S1176,Paul Garcia,B,69.5,74.3,43.4,72.0,91.8,64.3
S1177,Joshua Thompson,A,78.2,95.9,41.9,35.6,38.1,54.8
S1178,Kevin Bradford,C,70.3,65.3,63.7,56.8,79.8,48.6
S1179,Jeffrey Kent,A,70.4,54.1,61.2,68.1,22.5,40.7
S1180,David Zamora,A,81.3,62.3,47.0,64.6,9.0,64.1
S1181,Lacey Sawyer,A,63.8,85.6,63.2,68.0,1.6,64.2
S1182,Chad Johnson,C,71.2,55.3,50.2,65.1,38.8,54.6
S1183,Jennifer Cannon,C,64.5,53.0,55.1,79.9,3.9,64.0
S1184,Thomas Moore,A,64.8,57.8,90.1,48.7,10.8,63.3
S1185,Michelle Vaughn,B,66.3,50.7,84.1,52.5,22.8,67.5
S1186,Courtney Watson,C,72.7,66.8,36.6,51.2,24.9,45.8
S1187,John Snyder,B,64.3,89.4,74.9,73.6,27.5,68.1
S1188,Erica Frazier,B,85.1,69.8,74.6,74.6,5.5,59.5
S1189,Steven Best,A,59.3,61.2,39.3,68.3,14.3,50.2
S1190,Jennifer Higgins,A,67.8,60.6,74.7,78.6,28.8,61.4
S1191,Trevor Martin,C,64.7,41.6,87.7,45.5,105.0,60.6
S1192,Alan Carroll,C,87.4,78.2,39.8,85.3,39.0,67.8
S1193,Alexander Bennett,B,72.4,63.8,43.5,83.3,76.8,64.5
S1194,Megan Juarez,A,82.4,62.3,78.3,72.3,43.1,72.1
S1195,Lori Williams,A,52.2,100.0,64.9,86.9,26.9,80.3
S1196,Brooke Salinas,B,73.2,69.5,69.9,38.8,6.4,57.4
S1197,Elizabeth Fields,C,80.7,53.7,66.1,54.7,33.0,54.2
S1198,Jessica French,C,71.0,58.6,67.0,51.7,29.3,59.3
S1199,Holly Garner,C,82.8,82.2,36.1,72.1,27.7,59.3
S1200,Joseph Moss,B,63.8,66.7,78.9,47.3,20.2,68.1
S1201,Brian Ramirez,A,86.9,43.4,81.1,72.6,22.6,62.9
S1202,Richard Zamora,A,97.6,78.8,55.9,81.2,12.2,69.2
S1203,Shawn Watts,C,65.6,55.0,59.2,71.7,22.0,53.8
S1204,Denise Savage,B,64.7,93.1,32.4,66.0,6.6,63.5
S1205,Richard Smith,A,87.4,81.2,69.3,48.2,49.1,67.9
S1206,Lori Solomon,A,89.0,58.3,70.3,50.1,6.2,59.1
S1207,Jacob Becker,B,63.7,84.2,58.9,79.5,2.7,73.9
S1208,Vincent Washington,A,65.0,66.0,80.2,72.9,17.2,58.3
S1209,Miss Paula Chan DDS,A,66.6,77.8,54.0,61.5,32.2,60.5
S1210,Renee Salazar,B,53.9,72.3,70.2,56.1,17.3,61.0
S1211,Susan Harper,B,59.0,52.3,41.6,33.6,9.7,34.6
S1212,Aaron Ochoa,B,58.0,55.3,59.6,47.0,24.5,53.7
S1213,Jacqueline Rodriguez,A,60.8,80.4,56.9,88.8,12.8,57.0
S1214,Natasha Rubio MD,B,69.6,60.0,64.1,44.1,81.0,62.3
S1215,Robert Simpson,A,72.8,58.9,53.3,64.7,76.8,53.1
S1216,Christina Decker,A,88.6,50.7,57.6,76.1,20.9,66.9
S1217,Jay Salazar,B,58.0,71.4,74.9,44.4,11.9,63.8
S1218,Edwin Bennett,B,81.8,95.9,52.1,64.6,40.1,74.8
S1219,Rodney Sloan,C,67.4,49.0,31.1,75.1,1.1,51.5
S1220,Willie Wood,B,69.4,65.4,91.5,62.2,19.3,63.9
S1221,William Hernandez,B,78.1,86.2,84.9,100.0,12.3,73.8
S1222,Barry Levine,A,56.5,63.8,36.7,38.6,76.0,56.8
S1223,Mary Chen,A,74.6,71.8,72.4,76.8,0.4,62.1
S1224,Christopher Mills,A,72.0,49.1,50.9,59.6,24.1,47.4
S1225,Craig Bennett,A,75.9,71.4,64.7,72.8,40.5,69.5
S1226,James Lawrence,C,73.5,62.2,65.3,68.2,19.9,56.6
S1227,Matthew Rodriguez,A,99.5,79.8,55.8,51.7,2.7,63.1
S1228,Caroline Barry,C,62.3,82.8,45.9,65.2,107.8,52.4
S1229,Andrew Arias,B,63.6,100.0,47.6,36.0,21.9,56.7
S1230,Henry Mills,C,62.5,73.7,43.5,70.4,28.6,56.7
S1231,Shannon Castillo,B,63.3,69.9,45.0,66.2,8.1,57.1
S1232,Bryan Cox,B,62.4,67.9,58.8,70.9,19.8,64.3
S1233,Curtis Smith,B,84.3,59.7,47.1,76.8,16.8,64.7
S1234,Melissa Watkins,A,87.0,70.1,72.3,67.1,2.3,67.1
S1235,Leslie Hill,B,63.2,60.6,86.8,64.1,3.4,59.9
S1236,Amy Pierce,A,60.0,67.5,49.6,49.7,54.5,56.7
S1237,Natasha Guzman,A,75.7,84.8,64.3,52.0,8.2,72.4
S1238,Kayla Norris,B,63.4,49.9,69.0,78.6,6.5,58.0
S1239,George Bruce,A,77.6,82.1,68.5,82.1,21.1,67.5
S1240,Jessica Cohen,C,72.4,84.8,61.4,58.7,43.9,59.1
S1241,Kim Bradley,C,51.8,63.2,73.4,62.6,1.9,46.8
S1242,Anthony Francis,C,88.6,33.2,68.7,49.3,25.8,60.6
S1243,David Sanchez Jr.,A,91.6,55.9,37.7,78.4,3.8,64.3
S1244,Mr. Timothy Boyd,A,62.6,84.5,75.6,71.3,1.1,69.2
S1245,Jacqueline Smith,C,65.3,64.7,76.0,89.2,1.6,63.6
S1246,Mr. Shawn Simmons,B,73.4,50.0,46.3,49.7,53.9,61.0
S1247,Charles Sanders MD,C,74.0,57.4,60.7,56.7,3.8,54.4
S1248,Derek Little,C,77.9,77.6,72.3,65.2,1.4,72.8
S1249,Erin Quinn,C,94.1,73.2,56.2,71.1,17.3,68.6
S1250,Justin May,A,67.9,61.4,79.3,59.0,55.7,58.2
S1251,Robert Lopez,A,60.4,59.5,100.0,49.8,9.1,64.3
S1252,Joshua Cordova,C,53.4,59.1,45.9,74.3,16.4,54.0
S1253,Cindy Ray,A,61.2,51.2,35.1,72.1,1.2,51.2
S1254,Shane Kim,A,69.6,89.2,65.5,49.2,17.9,64.6
S1255,Donna Morgan,B,91.5,60.2,73.0,81.0,25.9,69.7
S1256,Sean Bailey,C,63.8,83.3,55.8,78.4,25.4,77.8
S1257,Shannon Baker,B,72.7,87.8,86.2,63.9,12.1,78.0
S1258,Kayla Chen,B,69.8,80.0,35.9,63.1,11.4,62.2
S1259,Leslie Drake,A,84.3,58.5,72.5,69.8,3.4,65.6
S1260,Jennifer Parker,B,100.0,71.1,49.1,49.9,13.7,71.5
S1261,Charles Church,C,63.6,64.6,90.9,62.4,3.1,66.0
S1262,Troy Dixon,A,64.1,51.4,95.9,31.9,43.6,57.3
S1263,Michelle Gates,B,82.5,69.9,46.2,74.3,101.7,63.3
S1264,Tracy Adkins,C,78.2,47.3,50.1,40.1,105.3,53.5
S1265,Michael Herman,B,92.2,82.8,75.5,83.0,60.1,58.4
S1266,David Griffin,B,77.0,58.0,53.0,57.4,27.5,58.8
S1267,Monica Stewart,B,65.7,68.0,59.2,59.0,36.2,55.4
S1268,Kim Briggs,A,77.1,69.2,60.5,53.2,10.1,70.3
S1269,Kristina White,A,83.3,61.1,25.4,58.0,29.9,54.9
S1270,Ryan Johnson,C,79.8,73.8,59.8,81.9,18.2,60.0
S1271,Chelsea Kim,C,76.1,57.9,47.6,27.2,19.7,51.1
S1272,Dennis Strong,C,82.8,78.1,51.1,79.9,42.5,61.4
S1273,George Garrett,C,84.0,44.8,86.0,66.7,9.9,66.7
S1274,Alexandra Rice,B,86.6,66.9,37.4,45.1,11.5,59.0
S1275,Brian Weaver,B,77.8,94.1,74.6,46.9,77.6,76.5
S1276,Jennifer Hays,C,68.0,50.0,55.0,85.5,1.7,52.0
S1277,Tammy Mckay,B,71.8,54.8,55.0,48.8,19.9,54.2
S1278,Christopher Hanson,B,84.5,72.7,74.2,45.9,73.2,58.9
S1279,Andrew Thompson,C,60.2,67.7,66.1,77.9,28.3,64.8
S1280,Linda Miller,C,74.4,70.3,70.3,66.7,23.7,67.7
S1281,Edwin Lewis,A,65.3,72.3,77.4,48.9,8.6,63.7
S1282,Andrea Shelton,A,70.3,74.5,54.0,65.0,12.6,60.6
S1283,William Russell,A,85.3,81.6,49.0,47.6,57.3,66.9
S1284,Maria Gallegos,B,72.3,71.1,40.5,77.4,24.6,69.4
S1285,Michael Green,A,70.6,61.4,45.1,76.9,21.7,55.9
S1286,Wayne Smith,B,53.7,75.1,100.0,69.4,3.1,66.2
S1287,Christine Pineda,B,79.0,93.5,82.4,67.1,0.5,67.1
S1288,Debra Benjamin,A,77.7,63.0,35.7,86.7,99.5,56.5
S1289,Mrs. Denise Harvey,B,96.0,50.4,36.2,62.0,14.2,58.9
S1290,Alexandra Miller,A,66.3,81.6,68.7,45.5,27.7,68.2
S1291,Isabel Martinez,A,72.6,63.2,69.9,68.3,2.5,60.3
S1292,Jeffrey Castaneda,C,73.0,32.4,69.9,91.2,34.5,57.1
S1293,Christopher Bates,A,88.9,77.7,55.4,47.8,80.9,63.9
S1294,Erin Baldwin,A,68.9,57.0,57.7,56.9,25.7,52.4
S1295,Michael Murphy,B,73.3,63.6,65.9,67.8,4.0,63.1
S1296,Joe Johnson,C,77.3,70.0,61.5,61.2,26.1,53.8
S1297,Connor Robinson,A,72.2,67.9,20.1,48.2,43.6,58.7
S1298,Shannon Mathis,B,64.6,75.6,55.9,77.7,15.6,57.5
S1299,Rebecca Garcia,A,72.3,58.5,44.7,94.5,63.6,65.3
S1300,Felicia Cook,A,82.9,72.7,63.2,64.7,31.4,58.5
S1301,Heather Hahn,B,57.7,61.1,100.0,49.3,68.9,65.7
S1302,Veronica Clark,B,71.6,76.1,66.6,40.3,29.3,64.6
S1303,Jennifer Daniels,B,61.6,74.2,54.4,65.6,4.2,60.2
S1304,Tiffany Soto MD,B,84.3,51.0,76.6,77.5,11.1,59.3
S1305,Nicole Calderon,C,51.7,81.3,68.7,68.7,6.8,61.5
S1306,Frank Bailey,B,63.3,57.0,67.6,62.0,71.8,50.7
S1307,Nicholas Ford,A,74.5,77.1,70.9,53.8,42.9,63.4
S1308,Anthony Steele,C,88.8,70.5,97.0,46.7,33.8,77.7
S1309,Daniel Leonard,A,69.2,92.6,39.6,73.7,10.7,67.9
S1310,Jennifer Ramirez,B,63.3,61.6,68.5,74.8,6.1,59.6
S1311,Daniel Wilson,A,92.6,59.8,43.3,40.4,42.4,52.6
S1312,Jason Young,A,52.6,64.7,70.0,84.3,19.3,63.0
S1313,Bryan Peterson,C,43.6,60.5,43.5,70.0,7.7,47.7
S1314,Michael Ruiz,C,75.3,77.0,52.5,81.6,28.8,51.4
S1315,Bobby Miller,B,64.0,40.8,54.7,43.2,1.2,51.5
S1316,Craig Martinez,B,57.7,49.2,77.6,42.9,11.8,51.7
S1317,Christine Hodges,A,78.5,49.0,76.5,59.9,19.0,67.8
S1318,Emily Lewis,A,72.9,79.3,37.6,69.0,4.8,53.1
S1319,Paula Davis,A,63.2,90.7,61.0,87.1,125.3,51.0
S1320,Johnathan Young,B,54.6,63.4,47.2,71.9,7.0,54.3
S1321,Darlene Grant,B,80.5,62.5,37.3,58.6,4.2,57.9
S1322,Billy Smith,B,77.8,66.1,56.1,47.6,6.8,48.2
S1323,Kevin Foster,A,68.8,82.4,54.4,79.2,44.0,59.3
S1324,Kayla Curtis,C,92.2,51.1,100.0,48.5,16.6,84.6
S1325,Michael Vang,B,57.2,68.6,67.8,84.8,25.0,59.4
S1326,Brandon Whitney,B,51.7,79.6,35.2,58.0,0.6,55.6
S1327,Tabitha Brooks,B,61.7,72.5,49.8,84.3,1.1,55.4
S1328,Joseph Wilson,B,69.5,67.8,78.4,71.5,17.7,52.1
S1329,Alexander Conway,A,72.9,80.0,97.6,60.1,50.9,70.7
S1330,Vincent Sutton,A,67.1,24.5,31.5,54.7,64.9,40.8
S1331,Kimberly Reynolds,C,74.2,75.2,26.2,57.2,2.7,52.5
S1332,Shawn Evans,A,55.0,55.2,93.7,68.0,23.2,59.1
S1333,Mikayla Bennett,A,87.3,37.5,67.0,63.1,73.3,61.9
S1334,Cindy Lee,A,69.0,72.7,44.4,53.7,14.7,55.3
S1335,Gary Castro,A,83.4,85.6,69.6,59.7,53.1,63.0
S1336,Erica Meyer,C,74.1,62.9,12.6,63.1,4.3,53.0
S1337,Christina Rocha,B,75.5,79.3,60.1,32.2,82.2,49.7
S1338,Dennis Hall,B,76.8,89.2,65.9,68.4,41.8,57.5
S1339,Michael Willis,A,75.4,84.7,76.6,48.3,85.1,72.9
S1340,David Fischer,B,77.7,89.6,41.7,45.9,33.9,64.8
S1341,Brandon Ramos,B,85.9,76.1,61.5,38.4,13.5,62.9
S1342,Vanessa Cook,A,72.4,66.1,43.3,36.9,83.5,46.2
S1343,Pamela Greene,B,78.5,41.0,64.6,43.0,9.7,49.2
S1344,Keith Turner,A,68.9,61.3,43.9,52.1,12.1,51.3
S1345,Diane Horne,B,87.3,52.4,52.7,89.3,36.2,54.5
S1346,Shari Patterson,B,61.9,97.6,42.1,54.6,43.5,56.2
S1347,Kathryn Bell,A,91.6,62.4,71.7,64.5,79.5,73.0
S1348,Eric Castaneda,A,69.5,66.8,75.5,67.6,6.9,71.5
S1349,Ryan Rivera,B,52.8,73.3,55.8,63.8,48.0,53.6
S1350,Sheena Daugherty,B,71.5,65.7,60.7,60.9,40.2,64.7
S1351,Holly West,C,61.8,90.4,33.9,45.3,2.0,43.3
S1352,Willie Garcia,B,80.1,55.7,54.6,82.3,14.7,65.5
S1353,Felicia Rivas,A,62.2,67.9,59.1,87.3,10.0,56.0
S1354,Stefanie Simon,A,64.6,53.9,100.0,38.4,10.9,60.7
S1355,Taylor Bowman,B,47.3,45.2,40.0,47.7,122.1,42.2
S1356,Diane Copeland,A,64.6,55.8,86.4,58.1,30.9,68.0
S1357,Jennifer Hays,B,40.9,64.4,77.9,48.5,37.9,47.0
S1358,Michael Baldwin,C,51.0,58.6,65.1,69.1,112.7,59.9
S1359,Tara Page,B,79.1,54.6,91.7,51.8,14.2,62.2
S1360,Kaylee Rhodes,A,79.4,43.9,66.7,92.3,48.6,62.3
S1361,Anthony Welch,B,75.1,63.8,67.0,78.7,17.1,63.0
